,paths,bbox,texts
1201,2079,"[311, 197, 79, 27]","[26, 35, 25, 0, 7, 8, 6, 10]"
1202,208,"[186, 166, 33, 28]","[11, 35, 26, 0, 8, 10, 5, 2]"
1203,2080,"[160, 165, 80, 26]","[26, 35, 25, 0, 7, 8, 6, 10]"
1204,2081,"[347, 337, 80, 27]","[26, 35, 25, 0, 7, 8, 6, 10]"
1205,2082,"[243, 376, 81, 28]","[26, 35, 25, 0, 7, 8, 6, 10]"
1206,2083,"[85, 364, 83, 27]","[26, 35, 25, 0, 7, 8, 6, 10]"
1207,2084,"[197, 358, 83, 27]","[26, 35, 25, 0, 7, 8, 6, 10]"
1208,2085,"[85, 347, 82, 27]","[26, 35, 25, 0, 7, 8, 6, 10]"
1209,2086,"[326, 214, 85, 30]","[26, 35, 25, 0, 7, 8, 6, 10]"
1210,2087,"[164, 380, 84, 29]","[26, 35, 25, 0, 7, 8, 6, 10]"
1211,2088,"[98, 203, 84, 28]","[26, 35, 25, 0, 7, 8, 6, 10]"
1212,2089,"[37, 306, 86, 29]","[26, 35, 25, 0, 7, 8, 6, 10]"
1213,209,"[260, 242, 33, 27]","[11, 35, 26, 0, 8, 10, 5, 2]"
1214,2090,"[135, 308, 84, 28]","[26, 35, 25, 0, 7, 8, 6, 10]"
1215,2091,"[233, 306, 87, 29]","[26, 35, 25, 0, 7, 8, 6, 10]"
1216,2092,"[82, 226, 86, 28]","[26, 35, 25, 0, 7, 8, 6, 10]"
1217,2093,"[253, 276, 88, 28]","[26, 35, 25, 0, 7, 8, 6, 10]"
1218,2094,"[230, 281, 86, 29]","[26, 35, 25, 0, 7, 8, 6, 10]"
1219,2095,"[268, 137, 85, 30]","[26, 35, 25, 0, 7, 8, 6, 10]"
1220,2096,"[271, 61, 85, 28]","[26, 35, 25, 0, 7, 8, 6, 10]"
1221,2097,"[200, 206, 85, 30]","[26, 35, 25, 0, 7, 8, 6, 10]"
1222,2098,"[262, 65, 88, 30]","[26, 35, 25, 0, 7, 8, 6, 10]"
1223,2099,"[128, 47, 88, 31]","[26, 35, 25, 0, 7, 8, 6, 10]"
1224,21,"[23, 236, 56, 20]","[23, 22, 29, 0, 6, 6, 2, 2]"
1225,210,"[61, 165, 53, 22]","[11, 29, 36, 0, 10, 5, 6, 8]"
1226,2100,"[193, 269, 87, 26]","[11, 32, 11, 0, 2, 5, 7, 7]"
1227,2101,"[291, 86, 85, 26]","[11, 32, 11, 0, 2, 5, 7, 7]"
1228,2102,"[205, 229, 87, 25]","[11, 32, 11, 0, 2, 5, 7, 7]"
1229,2103,"[261, 294, 87, 25]","[11, 32, 11, 0, 2, 5, 7, 7]"
1230,2104,"[233, 67, 89, 26]","[11, 32, 11, 0, 2, 5, 7, 7]"
1231,2105,"[172, 62, 86, 27]","[11, 32, 11, 0, 2, 5, 7, 7]"
1232,2106,"[274, 194, 86, 24]","[11, 32, 11, 0, 2, 5, 7, 7]"
1233,2107,"[246, 30, 86, 27]","[11, 32, 11, 0, 2, 5, 7, 7]"
1234,2108,"[237, 320, 84, 26]","[11, 32, 11, 0, 2, 5, 7, 7]"
1235,2109,"[62, 97, 84, 27]","[11, 32, 11, 0, 2, 5, 7, 7]"
1236,211,"[298, 353, 53, 22]","[11, 29, 36, 0, 10, 5, 6, 8]"
1237,2110,"[170, 26, 85, 28]","[11, 32, 11, 0, 2, 5, 7, 7]"
1238,2111,"[179, 32, 86, 28]","[11, 32, 11, 0, 2, 5, 7, 7]"
1239,2112,"[234, 24, 85, 29]","[11, 32, 11, 0, 2, 5, 7, 7]"
1240,2113,"[73, 318, 85, 29]","[11, 32, 11, 0, 2, 5, 7, 7]"
1241,2114,"[102, 155, 84, 26]","[11, 32, 11, 0, 2, 5, 7, 7]"
1242,2115,"[146, 68, 83, 27]","[11, 32, 11, 0, 2, 5, 7, 7]"
1243,2116,"[140, 113, 84, 26]","[11, 32, 11, 0, 2, 5, 7, 7]"
1244,2117,"[144, 181, 84, 26]","[11, 32, 11, 0, 2, 5, 7, 7]"
1245,2118,"[200, 247, 84, 27]","[11, 32, 11, 0, 2, 5, 7, 7]"
1246,2119,"[44, 208, 84, 27]","[11, 32, 11, 0, 2, 5, 7, 7]"
1247,212,"[49, 72, 53, 24]","[11, 29, 36, 0, 10, 5, 6, 8]"
1248,2120,"[126, 158, 84, 30]","[11, 32, 11, 0, 2, 5, 7, 7]"
1249,2121,"[330, 146, 83, 28]","[11, 32, 11, 0, 2, 5, 7, 7]"
1250,2122,"[251, 138, 84, 27]","[11, 32, 11, 0, 2, 5, 7, 7]"
1251,2123,"[332, 212, 83, 26]","[11, 32, 11, 0, 2, 5, 7, 7]"
1252,2124,"[160, 169, 83, 27]","[11, 32, 11, 0, 2, 5, 7, 7]"
1253,2125,"[166, 163, 85, 26]","[11, 32, 11, 0, 2, 5, 7, 7]"
1254,2126,"[195, 282, 86, 29]","[11, 32, 11, 0, 2, 5, 7, 7]"
1255,2127,"[85, 207, 84, 26]","[11, 32, 11, 0, 2, 5, 7, 7]"
1256,2128,"[270, 255, 85, 27]","[11, 32, 11, 0, 2, 5, 7, 7]"
1257,2129,"[409, 243, 84, 26]","[11, 32, 11, 0, 2, 5, 7, 7]"
1258,213,"[206, 202, 53, 23]","[11, 29, 36, 0, 10, 5, 6, 8]"
1259,2130,"[125, 206, 47, 42]","[11, 35, 12, 0, 8, 9, 10, 3]"
1260,2131,"[64, 228, 48, 42]","[11, 35, 12, 0, 8, 9, 10, 3]"
1261,2132,"[50, 320, 47, 42]","[11, 35, 12, 0, 8, 9, 10, 3]"
1262,2133,"[129, 37, 49, 44]","[11, 35, 12, 0, 8, 9, 10, 3]"
1263,2134,"[62, 99, 48, 42]","[11, 35, 12, 0, 8, 9, 10, 3]"
1264,2135,"[284, 267, 48, 42]","[11, 35, 12, 0, 8, 9, 10, 3]"
1265,2136,"[82, 64, 48, 42]","[11, 35, 12, 0, 8, 9, 10, 3]"
1266,2137,"[302, 303, 48, 42]","[11, 35, 12, 0, 8, 9, 10, 3]"
1267,2138,"[267, 149, 49, 43]","[11, 35, 12, 0, 8, 9, 10, 3]"
1268,2139,"[358, 172, 48, 43]","[11, 35, 12, 0, 8, 9, 10, 3]"
1269,214,"[219, 216, 54, 23]","[11, 29, 36, 0, 10, 5, 6, 8]"
1270,2140,"[365, 152, 50, 44]","[11, 35, 12, 0, 8, 9, 10, 3]"
1271,2141,"[271, 168, 49, 43]","[11, 35, 12, 0, 8, 9, 10, 3]"
1272,2142,"[34, 300, 49, 44]","[11, 35, 12, 0, 8, 9, 10, 3]"
1273,2143,"[93, 165, 49, 44]","[11, 35, 12, 0, 8, 9, 10, 3]"
1274,2144,"[187, 353, 49, 45]","[11, 35, 12, 0, 8, 9, 10, 3]"
1275,2145,"[53, 160, 50, 44]","[11, 35, 12, 0, 8, 9, 10, 3]"
1276,2146,"[126, 203, 50, 44]","[11, 35, 12, 0, 8, 9, 10, 3]"
1277,2147,"[316, 149, 50, 45]","[11, 35, 12, 0, 8, 9, 10, 3]"
1278,2148,"[284, 108, 49, 45]","[11, 35, 12, 0, 8, 9, 10, 3]"
1279,2149,"[290, 110, 49, 45]","[11, 35, 12, 0, 8, 9, 10, 3]"
1280,215,"[276, 343, 55, 23]","[11, 29, 36, 0, 10, 5, 6, 8]"
1281,2150,"[187, 180, 50, 45]","[11, 35, 12, 0, 8, 9, 10, 3]"
1282,2151,"[110, 150, 50, 44]","[11, 35, 12, 0, 8, 9, 10, 3]"
1283,2152,"[176, 334, 50, 45]","[11, 35, 12, 0, 8, 9, 10, 3]"
1284,2153,"[286, 301, 51, 46]","[11, 35, 12, 0, 8, 9, 10, 3]"
1285,2154,"[212, 71, 51, 46]","[11, 35, 12, 0, 8, 9, 10, 3]"
1286,2155,"[279, 339, 51, 46]","[11, 35, 12, 0, 8, 9, 10, 3]"
1287,2156,"[282, 210, 50, 46]","[11, 35, 12, 0, 8, 9, 10, 3]"
1288,2157,"[263, 122, 50, 46]","[11, 35, 12, 0, 8, 9, 10, 3]"
1289,2158,"[49, 359, 51, 46]","[11, 35, 12, 0, 8, 9, 10, 3]"
1290,2159,"[186, 309, 51, 47]","[11, 35, 12, 0, 8, 9, 10, 3]"
1291,216,"[236, 312, 55, 25]","[11, 29, 36, 0, 10, 5, 6, 8]"
1292,2160,"[311, 27, 66, 23]","[12, 11, 22, 0, 4, 2, 7, 2]"
1293,2161,"[244, 104, 67, 24]","[12, 11, 22, 0, 4, 2, 7, 2]"
1294,2162,"[248, 169, 67, 24]","[12, 11, 22, 0, 4, 2, 7, 2]"
1295,2163,"[233, 177, 68, 24]","[12, 11, 22, 0, 4, 2, 7, 2]"
1296,2164,"[116, 70, 68, 24]","[12, 11, 22, 0, 4, 2, 7, 2]"
1297,2165,"[186, 252, 68, 25]","[12, 11, 22, 0, 4, 2, 7, 2]"
1298,2166,"[273, 55, 69, 24]","[12, 11, 22, 0, 4, 2, 7, 2]"
1299,2167,"[330, 264, 70, 24]","[12, 11, 22, 0, 4, 2, 7, 2]"
1300,2168,"[249, 204, 71, 25]","[12, 11, 22, 0, 4, 2, 7, 2]"
1301,2169,"[268, 119, 71, 25]","[12, 11, 22, 0, 4, 2, 7, 2]"
1302,217,"[193, 316, 55, 24]","[11, 29, 36, 0, 10, 5, 6, 8]"
1303,2170,"[187, 300, 72, 25]","[12, 11, 22, 0, 4, 2, 7, 2]"
1304,2171,"[340, 59, 72, 26]","[12, 11, 22, 0, 4, 2, 7, 2]"
1305,2172,"[302, 95, 73, 26]","[12, 11, 22, 0, 4, 2, 7, 2]"
1306,2173,"[76, 316, 73, 25]","[12, 11, 22, 0, 4, 2, 7, 2]"
1307,2174,"[105, 66, 74, 26]","[12, 11, 22, 0, 4, 2, 7, 2]"
1308,2175,"[76, 170, 74, 27]","[12, 11, 22, 0, 4, 2, 7, 2]"
1309,2176,"[256, 222, 75, 26]","[12, 11, 22, 0, 4, 2, 7, 2]"
1310,2177,"[308, 130, 75, 26]","[12, 11, 22, 0, 4, 2, 7, 2]"
1311,2178,"[208, 296, 75, 26]","[12, 11, 22, 0, 4, 2, 7, 2]"
1312,2179,"[330, 120, 76, 27]","[12, 11, 22, 0, 4, 2, 7, 2]"
1313,218,"[116, 226, 56, 25]","[11, 29, 36, 0, 10, 5, 6, 8]"
1314,2180,"[232, 245, 77, 27]","[12, 11, 22, 0, 4, 2, 7, 2]"
1315,2181,"[290, 52, 77, 27]","[12, 11, 22, 0, 4, 2, 7, 2]"
1316,2182,"[87, 338, 78, 27]","[12, 11, 22, 0, 4, 2, 7, 2]"
1317,2183,"[326, 386, 78, 27]","[12, 11, 22, 0, 4, 2, 7, 2]"
1318,2184,"[274, 227, 80, 27]","[12, 11, 22, 0, 4, 2, 7, 2]"
1319,2185,"[189, 380, 80, 28]","[12, 11, 22, 0, 4, 2, 7, 2]"
1320,2186,"[150, 176, 81, 28]","[12, 11, 22, 0, 4, 2, 7, 2]"
1321,2187,"[209, 331, 81, 27]","[12, 11, 22, 0, 4, 2, 7, 2]"
1322,2188,"[68, 276, 82, 28]","[12, 11, 22, 0, 4, 2, 7, 2]"
1323,2189,"[111, 229, 82, 29]","[12, 11, 22, 0, 4, 2, 7, 2]"
1324,219,"[363, 138, 56, 26]","[11, 29, 36, 0, 10, 5, 6, 8]"
1325,2190,"[153, 371, 70, 24]","[12, 11, 27, 0, 7, 7, 9, 10]"
1326,2191,"[84, 115, 70, 24]","[12, 11, 27, 0, 7, 7, 9, 10]"
1327,2192,"[212, 326, 72, 25]","[12, 11, 27, 0, 7, 7, 9, 10]"
1328,2193,"[49, 372, 71, 25]","[12, 11, 27, 0, 7, 7, 9, 10]"
1329,2194,"[197, 30, 70, 24]","[12, 11, 27, 0, 7, 7, 9, 10]"
1330,2195,"[29, 341, 68, 24]","[12, 11, 27, 0, 7, 7, 9, 10]"
1331,2196,"[63, 101, 68, 24]","[12, 11, 27, 0, 7, 7, 9, 10]"
1332,2197,"[145, 302, 67, 23]","[12, 11, 27, 0, 7, 7, 9, 10]"
1333,2198,"[225, 143, 66, 23]","[12, 11, 27, 0, 7, 7, 9, 10]"
1334,2199,"[286, 109, 66, 23]","[12, 11, 27, 0, 7, 7, 9, 10]"
1335,22,"[152, 74, 58, 20]","[23, 22, 29, 0, 6, 6, 2, 2]"
1336,220,"[321, 142, 56, 26]","[11, 29, 36, 0, 10, 5, 6, 8]"
1337,2200,"[141, 89, 66, 24]","[12, 11, 27, 0, 7, 7, 9, 10]"
1338,2201,"[172, 260, 64, 23]","[12, 11, 27, 0, 7, 7, 9, 10]"
1339,2202,"[240, 236, 64, 23]","[12, 11, 27, 0, 7, 7, 9, 10]"
1340,2203,"[51, 129, 63, 23]","[12, 11, 27, 0, 7, 7, 9, 10]"
1341,2204,"[123, 287, 62, 22]","[12, 11, 27, 0, 7, 7, 9, 10]"
1342,2205,"[219, 251, 62, 23]","[12, 11, 27, 0, 7, 7, 9, 10]"
1343,2206,"[246, 240, 62, 23]","[12, 11, 27, 0, 7, 7, 9, 10]"
1344,2207,"[244, 359, 62, 21]","[12, 11, 27, 0, 7, 7, 9, 10]"
1345,2208,"[153, 88, 61, 22]","[12, 11, 27, 0, 7, 7, 9, 10]"
1346,2209,"[271, 231, 59, 21]","[12, 11, 27, 0, 7, 7, 9, 10]"
1347,221,"[302, 211, 57, 26]","[11, 29, 36, 0, 10, 5, 6, 8]"
1348,2210,"[355, 353, 60, 20]","[12, 11, 27, 0, 7, 7, 9, 10]"
1349,2211,"[136, 250, 60, 20]","[12, 11, 27, 0, 7, 7, 9, 10]"
1350,2212,"[68, 372, 59, 20]","[12, 11, 27, 0, 7, 7, 9, 10]"
1351,2213,"[64, 187, 58, 20]","[12, 11, 27, 0, 7, 7, 9, 10]"
1352,2214,"[95, 308, 57, 20]","[12, 11, 27, 0, 7, 7, 9, 10]"
1353,2215,"[280, 136, 58, 19]","[12, 11, 27, 0, 7, 7, 9, 10]"
1354,2216,"[276, 132, 56, 18]","[12, 11, 27, 0, 7, 7, 9, 10]"
1355,2217,"[277, 222, 55, 18]","[12, 11, 27, 0, 7, 7, 9, 10]"
1356,2218,"[317, 181, 55, 18]","[12, 11, 27, 0, 7, 7, 9, 10]"
1357,2219,"[222, 237, 55, 19]","[12, 11, 27, 0, 7, 7, 9, 10]"
1358,222,"[60, 133, 55, 25]","[11, 29, 36, 0, 10, 5, 6, 8]"
1359,2220,"[303, 189, 88, 35]","[23, 16, 29, 0, 3, 5, 6, 6]"
1360,2221,"[325, 140, 89, 34]","[23, 16, 29, 0, 3, 5, 6, 6]"
1361,2222,"[25, 250, 89, 34]","[23, 16, 29, 0, 3, 5, 6, 6]"
1362,2223,"[189, 55, 89, 34]","[23, 16, 29, 0, 3, 5, 6, 6]"
1363,2224,"[91, 337, 89, 35]","[23, 16, 29, 0, 3, 5, 6, 6]"
1364,2225,"[67, 73, 89, 34]","[23, 16, 29, 0, 3, 5, 6, 6]"
1365,2226,"[62, 224, 89, 35]","[23, 16, 29, 0, 3, 5, 6, 6]"
1366,2227,"[242, 183, 89, 34]","[23, 16, 29, 0, 3, 5, 6, 6]"
1367,2228,"[322, 71, 90, 34]","[23, 16, 29, 0, 3, 5, 6, 6]"
1368,2229,"[288, 272, 88, 34]","[23, 16, 29, 0, 3, 5, 6, 6]"
1369,223,"[90, 102, 57, 25]","[11, 29, 36, 0, 10, 5, 6, 8]"
1370,2230,"[250, 92, 89, 34]","[23, 16, 29, 0, 3, 5, 6, 6]"
1371,2231,"[336, 313, 90, 35]","[23, 16, 29, 0, 3, 5, 6, 6]"
1372,2232,"[209, 66, 89, 35]","[23, 16, 29, 0, 3, 5, 6, 6]"
1373,2233,"[105, 24, 88, 34]","[23, 16, 29, 0, 3, 5, 6, 6]"
1374,2234,"[176, 389, 88, 34]","[23, 16, 29, 0, 3, 5, 6, 6]"
1375,2235,"[315, 190, 89, 35]","[23, 16, 29, 0, 3, 5, 6, 6]"
1376,2236,"[233, 394, 89, 34]","[23, 16, 29, 0, 3, 5, 6, 6]"
1377,2237,"[266, 214, 89, 34]","[23, 16, 29, 0, 3, 5, 6, 6]"
1378,2238,"[135, 362, 90, 35]","[23, 16, 29, 0, 3, 5, 6, 6]"
1379,2239,"[267, 290, 89, 34]","[23, 16, 29, 0, 3, 5, 6, 6]"
1380,224,"[219, 87, 57, 26]","[11, 29, 36, 0, 10, 5, 6, 8]"
1381,2240,"[218, 224, 88, 33]","[23, 16, 29, 0, 3, 5, 6, 6]"
1382,2241,"[227, 136, 88, 33]","[23, 16, 29, 0, 3, 5, 6, 6]"
1383,2242,"[63, 164, 88, 34]","[23, 16, 29, 0, 3, 5, 6, 6]"
1384,2243,"[240, 49, 88, 34]","[23, 16, 29, 0, 3, 5, 6, 6]"
1385,2244,"[266, 120, 89, 34]","[23, 16, 29, 0, 3, 5, 6, 6]"
1386,2245,"[261, 136, 88, 34]","[23, 16, 29, 0, 3, 5, 6, 6]"
1387,2246,"[319, 283, 89, 34]","[23, 16, 29, 0, 3, 5, 6, 6]"
1388,2247,"[268, 57, 89, 35]","[23, 16, 29, 0, 3, 5, 6, 6]"
1389,2248,"[40, 115, 89, 35]","[23, 16, 29, 0, 3, 5, 6, 6]"
1390,2249,"[170, 101, 89, 34]","[23, 16, 29, 0, 3, 5, 6, 6]"
1391,225,"[279, 225, 58, 27]","[11, 29, 36, 0, 10, 5, 6, 8]"
1392,2250,"[323, 121, 62, 22]","[11, 36, 31, 0, 6, 2, 4, 4]"
1393,2251,"[243, 363, 61, 22]","[11, 36, 31, 0, 6, 2, 4, 4]"
1394,2252,"[98, 26, 61, 21]","[11, 36, 31, 0, 6, 2, 4, 4]"
1395,2253,"[191, 395, 61, 21]","[11, 36, 31, 0, 6, 2, 4, 4]"
1396,2254,"[349, 403, 62, 22]","[11, 36, 31, 0, 6, 2, 4, 4]"
1397,2255,"[210, 345, 62, 22]","[11, 36, 31, 0, 6, 2, 4, 4]"
1398,2256,"[345, 339, 62, 22]","[11, 36, 31, 0, 6, 2, 4, 4]"
1399,2257,"[174, 372, 62, 23]","[11, 36, 31, 0, 6, 2, 4, 4]"
1400,2258,"[90, 241, 63, 23]","[11, 36, 31, 0, 6, 2, 4, 4]"
1401,2259,"[311, 90, 63, 24]","[11, 36, 31, 0, 6, 2, 4, 4]"
1402,226,"[158, 229, 58, 24]","[11, 29, 36, 0, 10, 5, 6, 8]"
1403,2260,"[255, 103, 63, 23]","[11, 36, 31, 0, 6, 2, 4, 4]"
1404,2261,"[22, 128, 63, 24]","[11, 36, 31, 0, 6, 2, 4, 4]"
1405,2262,"[88, 207, 63, 24]","[11, 36, 31, 0, 6, 2, 4, 4]"
1406,2263,"[286, 50, 63, 24]","[11, 36, 31, 0, 6, 2, 4, 4]"
1407,2264,"[276, 67, 62, 24]","[11, 36, 31, 0, 6, 2, 4, 4]"
1408,2265,"[189, 307, 64, 24]","[11, 36, 31, 0, 6, 2, 4, 4]"
1409,2266,"[328, 399, 63, 24]","[11, 36, 31, 0, 6, 2, 4, 4]"
1410,2267,"[124, 269, 63, 24]","[11, 36, 31, 0, 6, 2, 4, 4]"
1411,2268,"[59, 221, 64, 25]","[11, 36, 31, 0, 6, 2, 4, 4]"
1412,2269,"[53, 23, 64, 24]","[11, 36, 31, 0, 6, 2, 4, 4]"
1413,227,"[74, 293, 59, 27]","[11, 29, 36, 0, 10, 5, 6, 8]"
1414,2270,"[327, 186, 63, 25]","[11, 36, 31, 0, 6, 2, 4, 4]"
1415,2271,"[334, 337, 64, 25]","[11, 36, 31, 0, 6, 2, 4, 4]"
1416,2272,"[268, 54, 64, 25]","[11, 36, 31, 0, 6, 2, 4, 4]"
1417,2273,"[302, 400, 64, 24]","[11, 36, 31, 0, 6, 2, 4, 4]"
1418,2274,"[306, 293, 65, 25]","[11, 36, 31, 0, 6, 2, 4, 4]"
1419,2275,"[267, 304, 64, 24]","[11, 36, 31, 0, 6, 2, 4, 4]"
1420,2276,"[280, 31, 65, 25]","[11, 36, 31, 0, 6, 2, 4, 4]"
1421,2277,"[84, 82, 65, 24]","[11, 36, 31, 0, 6, 2, 4, 4]"
1422,2278,"[331, 382, 65, 24]","[11, 36, 31, 0, 6, 2, 4, 4]"
1423,2279,"[338, 280, 65, 26]","[11, 36, 31, 0, 6, 2, 4, 4]"
1424,228,"[23, 140, 58, 26]","[11, 29, 36, 0, 10, 5, 6, 8]"
1425,2280,"[303, 89, 53, 19]","[11, 35, 21, 0, 5, 1, 3, 9]"
1426,2281,"[296, 268, 53, 18]","[11, 35, 21, 0, 5, 1, 3, 9]"
1427,2282,"[124, 223, 53, 19]","[11, 35, 21, 0, 5, 1, 3, 9]"
1428,2283,"[28, 146, 53, 18]","[11, 35, 21, 0, 5, 1, 3, 9]"
1429,2284,"[95, 294, 53, 18]","[11, 35, 21, 0, 5, 1, 3, 9]"
1430,2285,"[35, 328, 54, 19]","[11, 35, 21, 0, 5, 1, 3, 9]"
1431,2286,"[357, 333, 53, 18]","[11, 35, 21, 0, 5, 1, 3, 9]"
1432,2287,"[313, 282, 53, 19]","[11, 35, 21, 0, 5, 1, 3, 9]"
1433,2288,"[63, 371, 53, 19]","[11, 35, 21, 0, 5, 1, 3, 9]"
1434,2289,"[99, 218, 53, 18]","[11, 35, 21, 0, 5, 1, 3, 9]"
1435,229,"[204, 386, 58, 27]","[11, 29, 36, 0, 10, 5, 6, 8]"
1436,2290,"[332, 96, 53, 18]","[11, 35, 21, 0, 5, 1, 3, 9]"
1437,2291,"[112, 367, 53, 18]","[11, 35, 21, 0, 5, 1, 3, 9]"
1438,2292,"[66, 89, 53, 19]","[11, 35, 21, 0, 5, 1, 3, 9]"
1439,2293,"[300, 351, 53, 18]","[11, 35, 21, 0, 5, 1, 3, 9]"
1440,2294,"[307, 127, 53, 18]","[11, 35, 21, 0, 5, 1, 3, 9]"
1441,2295,"[246, 213, 54, 18]","[11, 35, 21, 0, 5, 1, 3, 9]"
1442,2296,"[156, 180, 53, 19]","[11, 35, 21, 0, 5, 1, 3, 9]"
1443,2297,"[314, 244, 54, 19]","[11, 35, 21, 0, 5, 1, 3, 9]"
1444,2298,"[197, 155, 54, 19]","[11, 35, 21, 0, 5, 1, 3, 9]"
1445,2299,"[241, 156, 53, 19]","[11, 35, 21, 0, 5, 1, 3, 9]"
1446,23,"[313, 70, 56, 19]","[23, 22, 29, 0, 6, 6, 2, 2]"
1447,230,"[47, 384, 59, 26]","[11, 29, 36, 0, 10, 5, 6, 8]"
1448,2300,"[344, 405, 54, 18]","[11, 35, 21, 0, 5, 1, 3, 9]"
1449,2301,"[274, 224, 54, 18]","[11, 35, 21, 0, 5, 1, 3, 9]"
1450,2302,"[169, 360, 54, 18]","[11, 35, 21, 0, 5, 1, 3, 9]"
1451,2303,"[181, 124, 53, 18]","[11, 35, 21, 0, 5, 1, 3, 9]"
1452,2304,"[65, 51, 54, 18]","[11, 35, 21, 0, 5, 1, 3, 9]"
1453,2305,"[366, 171, 54, 18]","[11, 35, 21, 0, 5, 1, 3, 9]"
1454,2306,"[347, 300, 54, 18]","[11, 35, 21, 0, 5, 1, 3, 9]"
1455,2307,"[147, 32, 53, 18]","[11, 35, 21, 0, 5, 1, 3, 9]"
1456,2308,"[249, 29, 53, 18]","[11, 35, 21, 0, 5, 1, 3, 9]"
1457,2309,"[229, 144, 54, 20]","[11, 35, 21, 0, 5, 1, 3, 9]"
1458,231,"[364, 333, 58, 26]","[11, 29, 36, 0, 10, 5, 6, 8]"
1459,2310,"[235, 138, 40, 37]","[12, 11, 11, 0, 3, 4, 9, 5]"
1460,2311,"[287, 38, 40, 37]","[12, 11, 11, 0, 3, 4, 9, 5]"
1461,2312,"[365, 94, 40, 37]","[12, 11, 11, 0, 3, 4, 9, 5]"
1462,2313,"[217, 338, 40, 37]","[12, 11, 11, 0, 3, 4, 9, 5]"
1463,2314,"[41, 111, 40, 37]","[12, 11, 11, 0, 3, 4, 9, 5]"
1464,2315,"[332, 292, 39, 37]","[12, 11, 11, 0, 3, 4, 9, 5]"
1465,2316,"[205, 104, 39, 37]","[12, 11, 11, 0, 3, 4, 9, 5]"
1466,2317,"[223, 87, 39, 36]","[12, 11, 11, 0, 3, 4, 9, 5]"
1467,2318,"[260, 183, 38, 37]","[12, 11, 11, 0, 3, 4, 9, 5]"
1468,2319,"[53, 210, 39, 37]","[12, 11, 11, 0, 3, 4, 9, 5]"
1469,232,"[296, 96, 59, 25]","[11, 29, 36, 0, 10, 5, 6, 8]"
1470,2320,"[245, 208, 39, 37]","[12, 11, 11, 0, 3, 4, 9, 5]"
1471,2321,"[182, 269, 40, 37]","[12, 11, 11, 0, 3, 4, 9, 5]"
1472,2322,"[21, 29, 39, 36]","[12, 11, 11, 0, 3, 4, 9, 5]"
1473,2323,"[139, 247, 40, 37]","[12, 11, 11, 0, 3, 4, 9, 5]"
1474,2324,"[43, 261, 38, 36]","[12, 11, 11, 0, 3, 4, 9, 5]"
1475,2325,"[21, 144, 40, 36]","[12, 11, 11, 0, 3, 4, 9, 5]"
1476,2326,"[112, 182, 39, 36]","[12, 11, 11, 0, 3, 4, 9, 5]"
1477,2327,"[189, 292, 39, 36]","[12, 11, 11, 0, 3, 4, 9, 5]"
1478,2328,"[135, 302, 39, 35]","[12, 11, 11, 0, 3, 4, 9, 5]"
1479,2329,"[311, 369, 38, 36]","[12, 11, 11, 0, 3, 4, 9, 5]"
1480,233,"[321, 301, 59, 25]","[11, 29, 36, 0, 10, 5, 6, 8]"
1481,2330,"[290, 386, 39, 35]","[12, 11, 11, 0, 3, 4, 9, 5]"
1482,2331,"[152, 144, 39, 36]","[12, 11, 11, 0, 3, 4, 9, 5]"
1483,2332,"[123, 377, 39, 36]","[12, 11, 11, 0, 3, 4, 9, 5]"
1484,2333,"[299, 232, 38, 34]","[12, 11, 11, 0, 3, 4, 9, 5]"
1485,2334,"[387, 309, 38, 35]","[12, 11, 11, 0, 3, 4, 9, 5]"
1486,2335,"[337, 262, 38, 35]","[12, 11, 11, 0, 3, 4, 9, 5]"
1487,2336,"[234, 368, 38, 36]","[12, 11, 11, 0, 3, 4, 9, 5]"
1488,2337,"[307, 185, 38, 35]","[12, 11, 11, 0, 3, 4, 9, 5]"
1489,2338,"[226, 301, 38, 36]","[12, 11, 11, 0, 3, 4, 9, 5]"
1490,2339,"[100, 177, 38, 36]","[12, 11, 11, 0, 3, 4, 9, 5]"
1491,234,"[290, 287, 59, 25]","[11, 29, 36, 0, 10, 5, 6, 8]"
1492,2340,"[209, 310, 36, 30]","[19, 20, 31, 0, 2, 9, 8, 1]"
1493,2341,"[322, 263, 36, 29]","[19, 20, 31, 0, 2, 9, 8, 1]"
1494,2342,"[225, 209, 36, 30]","[19, 20, 31, 0, 2, 9, 8, 1]"
1495,2343,"[361, 287, 37, 30]","[19, 20, 31, 0, 2, 9, 8, 1]"
1496,2344,"[354, 227, 37, 30]","[19, 20, 31, 0, 2, 9, 8, 1]"
1497,2345,"[104, 97, 37, 29]","[19, 20, 31, 0, 2, 9, 8, 1]"
1498,2346,"[283, 285, 36, 30]","[19, 20, 31, 0, 2, 9, 8, 1]"
1499,2347,"[102, 279, 37, 30]","[19, 20, 31, 0, 2, 9, 8, 1]"
1500,2348,"[62, 398, 37, 30]","[19, 20, 31, 0, 2, 9, 8, 1]"
1501,2349,"[196, 66, 37, 30]","[19, 20, 31, 0, 2, 9, 8, 1]"
1502,235,"[364, 381, 59, 26]","[11, 29, 36, 0, 10, 5, 6, 8]"
1503,2350,"[32, 147, 38, 30]","[19, 20, 31, 0, 2, 9, 8, 1]"
1504,2351,"[359, 91, 38, 31]","[19, 20, 31, 0, 2, 9, 8, 1]"
